chr	pos	prob	cdf
chr6	5180888	0.0	0.0
chr6	5184493	4.082284356121359e-11	4.082284356121359e-11
chr6	5238036	1.4542898482162712e-10	1.8625182838284072e-10
chr6	5260936	2.3269406829860858e-10	4.189458966814493e-10
chr6	5265853	2.821769460952036e-10	7.01122842776653e-10
chr6	5272087	3.342498981072591e-10	1.035372740883912e-09
chr6	5276575	2.02976863249375e-09	3.0651413733776623e-09
chr6	5281762	5.337986862508665e-09	8.403128235886328e-09
chr6	5282415	1.1435894521346987e-08	1.9839022757233317e-08
chr6	5282950	1.715659112040664e-08	3.699561387763996e-08
chr6	5286306	1.721444826683298e-08	5.421006214447294e-08
chr6	5287910	1.7264033840034432e-08	7.147409598450737e-08
chr6	5291511	1.7312304217605382e-08	8.878640020211275e-08
chr6	5294886	1.7358803188775434e-08	1.0614520339088818e-07
chr6	5299689	2.8262776816394132e-08	1.344079802072823e-07
chr6	5304085	2.8446649972792303e-08	1.6285463018007462e-07
chr6	5304851	2.8529566513578127e-08	1.9138419669365274e-07
chr6	5306757	1.283960055249977e-07	3.197802022186504e-07
chr6	5307432	1.2844948468024662e-07	4.48229686898897e-07
chr6	5307508	1.2848919376397982e-07	5.767188806628768e-07
chr6	5312080	1.2864124764809235e-07	7.053601283109691e-07
chr6	5320622	1.3180894623715467e-07	8.371690745481238e-07
chr6	5327560	1.3508025645391415e-07	9.722493310020379e-07
chr6	5335472	1.3742953874440545e-07	1.1096788697464434e-06
chr6	5342190	1.3932272349832313e-07	1.2490015932447665e-06
chr6	5343889	1.4064444180869884e-07	1.3896460350534654e-06
chr6	5360749	1.4082599947442232e-07	1.5304720345278876e-06
chr6	5362054	1.423504958082552e-07	1.6728225303361428e-06
chr6	5366604	1.4477656591211754e-07	1.8175990962482604e-06
chr6	5367273	1.4592483480125514e-07	1.9635239310495154e-06
chr6	5367507	1.4674055712240525e-07	2.110264488171921e-06
chr6	5371349	1.4683153151492358e-07	2.2570960196868446e-06
chr6	5372882	1.4690431950187983e-07	2.4040003391887243e-06
chr6	5373832	1.470217869249504e-07	2.5510221261136746e-06
chr6	5374744	1.4724811414545698e-07	2.6982702402591316e-06
chr6	5379228	2.5632024276527784e-07	2.9545904830244093e-06
chr6	5379525	2.563688479272988e-07	3.2109593309517083e-06
chr6	5384079	2.565406185335909e-07	3.467499949485299e-06
chr6	5385326	2.566082704460943e-07	3.724108219931393e-06
chr6	5385623	2.566374450791431e-07	3.980745665010536e-06
chr6	5387513	2.5670347551506747e-07	4.237449140525604e-06
chr6	5388057	2.612332917490851e-07	4.498682432274689e-06
chr6	5389729	2.770906967428381e-07	4.775773129017527e-06
chr6	5389883	2.771437536298389e-07	5.052916882647366e-06
chr6	5390860	2.7725112378877145e-07	5.330168006436137e-06
chr6	5395808	2.7742234116872285e-07	5.60759034760486e-06
chr6	5400658	2.807962942237154e-07	5.888386641828575e-06
chr6	5410152	2.8609305477534003e-07	6.174479696603915e-06
chr6	5419000	2.9133547382422325e-07	6.4658151704281385e-06
chr6	5424762	2.915203845787356e-07	6.7573355550068745e-06
chr6	5431340	2.916076114488134e-07	7.048943166455688e-06
chr6	5437732	2.9588382418823727e-07	7.344826990643926e-06
chr6	5441653	2.999868129441918e-07	7.644813803588118e-06
chr6	5444001	3.0839285608969693e-07	7.953206659677814e-06
chr6	5446551	3.5413727027639867e-07	8.307343929954214e-06
chr6	5449240	3.592555435559953e-07	8.66659947351021e-06
chr6	5452328	3.6321040844129096e-07	9.0298098819515e-06
chr6	5452658	3.637718508675243e-07	9.393581732819024e-06
chr6	5454013	3.648227129772734e-07	9.758404445796297e-06
chr6	5455161	3.6486341416154273e-07	1.012326785995784e-05
chr6	5456550	3.649533502186143e-07	1.0488221210176453e-05
chr6	5457827	3.650318628034303e-07	1.0853253072979884e-05
chr6	5460612	4.060808772447454e-07	1.125933395022463e-05
chr6	5460662	4.068166575539269e-07	1.1666150607778556e-05
chr6	5461970	4.0711067495943386e-07	1.207326128273799e-05
chr6	5468259	4.076143939101072e-07	1.2480875676648097e-05
chr6	5472657	4.078724225840926e-07	1.2888748099232189e-05
chr6	5475485	4.083582408136972e-07	1.3297106340045886e-05
chr6	5480096	4.675767106449628e-07	1.3764683050690848e-05
chr6	5481833	4.6791806249556725e-07	1.4232601113186415e-05
chr6	5481989	4.680134067278753e-07	1.4700614519914291e-05
chr6	5484829	4.792686933744396e-07	1.517988321328873e-05
chr6	5486756	4.886554808858889e-07	1.566853869417462e-05
chr6	5487630	4.947537822656732e-07	1.616329247644029e-05
chr6	5488017	4.981406336829268e-07	1.6661433110123217e-05
chr6	5488980	5.001122201098598e-07	1.716154533023308e-05
chr6	5489201	5.008203672068675e-07	1.7662365697439946e-05
chr6	5491723	5.044749618611327e-07	1.8166840659301078e-05
chr6	5492019	5.075834652472038e-07	1.867442412454828e-05
chr6	5496553	5.786388570323201e-07	1.92530629815806e-05
chr6	5501389	5.798442961378584e-07	1.9832907277718458e-05
chr6	5502038	5.852065698509422e-07	2.04181138475694e-05
chr6	5507182	6.053293988352965e-07	2.1023443246404697e-05
chr6	5508618	6.054284427417023e-07	2.16288716891464e-05
chr6	5518218	6.055875009866049e-07	2.2234459190133004e-05
chr6	5520125	6.056674801679918e-07	2.2840126670300996e-05
chr6	5523184	6.057848251475869e-07	2.3445911495448584e-05
chr6	5524393	6.058265183871235e-07	2.4051738013835707e-05
chr6	5531253	6.059349056295139e-07	2.465767291946522e-05
chr6	5534271	6.060478606804853e-07	2.5263720780145705e-05
chr6	5541104	6.490433701501206e-07	2.5912764150295824e-05
chr6	5541761	6.491599397293442e-07	2.656192409002517e-05
chr6	5545046	6.493576926587923e-07	2.7211281782683962e-05
chr6	5545654	6.494856460557633e-07	2.7860767428739725e-05
chr6	5549885	7.555545170992063e-07	2.861632194583893e-05
chr6	5551232	7.560372441560099e-07	2.937235918999494e-05
chr6	5555588	7.563406197286495e-07	3.0128699809723588e-05
chr6	5559059	7.719055605825444e-07	3.0900605370306136e-05
chr6	5560506	7.802949692150413e-07	3.168090033952118e-05
chr6	5560766	7.803575547772251e-07	3.2461257894298405e-05
chr6	5562546	7.806039977925945e-07	3.3241861892091e-05
chr6	5567978	9.03079928339208e-07	3.414494182043021e-05
chr6	5568083	9.068848224586071e-07	3.505182664288882e-05
chr6	5568838	9.089062620881581e-07	3.596073290497698e-05
chr6	5571672	9.121642063444757e-07	3.687289711132145e-05
chr6	5574319	9.159210133289427e-07	3.7788818124650394e-05
chr6	5575967	9.159838284642206e-07	3.8704801953114613e-05
chr6	5577148	9.160404821520241e-07	3.962084243526664e-05
chr6	5581224	9.161484717883949e-07	4.053699090705503e-05
chr6	5584422	9.163176576604387e-07	4.145330856471547e-05
chr6	5584936	9.163945229137596e-07	4.236970308762923e-05
chr6	5585770	9.1647328987482e-07	4.3286176377504045e-05
chr6	5594199	9.33164678085276e-07	4.421934105558932e-05
chr6	5594488	9.3320226163448e-07	4.51525433172238e-05
chr6	5596984	9.332626735528952e-07	4.60858059907767e-05
chr6	5597160	9.332889773382536e-07	4.7019094968114954e-05
chr6	5598143	9.333403234327028e-07	4.795243529154766e-05
chr6	5599657	9.333947950505858e-07	4.8885830086598244e-05
chr6	5600355	9.334603872843216e-07	4.981929047388256e-05
chr6	5604113	9.335874771022116e-07	5.075287795098477e-05
chr6	5607234	9.336813171046713e-07	5.168655926808944e-05
chr6	5607254	9.336905761474972e-07	5.2620249844236934e-05
chr6	5608766	9.33772754402967e-07	5.35540225986399e-05
chr6	5611082	9.85608257815967e-07	5.453963085645587e-05
chr6	5611577	9.856624008749877e-07	5.5525293257330855e-05
chr6	5618987	9.859574070559577e-07	5.651125066438681e-05
chr6	5620993	1.0370696955339622e-06	5.754832035992077e-05
chr6	5622232	1.037242160052399e-06	5.858556251997317e-05
chr6	5630468	1.121909156632609e-06	5.9707471676605776e-05
chr6	5630682	1.1219577616348393e-06	6.0829429438240613e-05
chr6	5632356	1.1220576608169901e-06	6.19514870990576e-05
chr6	5636137	1.1221315450501035e-06	6.30736186441077e-05
chr6	5637740	1.1222039725830704e-06	6.419582261669077e-05
chr6	5644736	1.1611987273143862e-06	6.535702134400515e-05
chr6	5646316	1.2053935860270809e-06	6.656241493003223e-05
chr6	5648087	1.2055824405253794e-06	6.77679973705576e-05
chr6	5649700	1.2056247049979378e-06	6.897362207555554e-05
chr6	5651184	1.2056744381824308e-06	7.017929651373797e-05
chr6	5653994	1.2082256294920622e-06	7.138752214323003e-05
chr6	5656275	1.2107658726373531e-06	7.259828801586738e-05
chr6	5659478	1.216569550453898e-06	7.381485756632128e-05
chr6	5661403	1.216620596659698e-06	7.503147816298098e-05
chr6	5663598	1.216814032687892e-06	7.624829219566887e-05
chr6	5664388	1.2545896155498817e-06	7.750288181121875e-05
chr6	5664464	1.2546157430954323e-06	7.875749755431417e-05
chr6	5665077	1.2686276006928094e-06	8.002612515500699e-05
chr6	5665088	1.2686377425061665e-06	8.129476289751316e-05
chr6	5665387	1.2687076450391906e-06	8.256347054255235e-05
chr6	5666064	1.26877040574015e-06	8.38322409482925e-05
chr6	5670714	1.2910368803467416e-06	8.512327782863925e-05
chr6	5676459	1.3134062179250144e-06	8.643668404656426e-05
chr6	5679758	1.3135162580759821e-06	8.775020030464024e-05
chr6	5686407	1.3136989793165409e-06	8.906389928395679e-05
chr6	5693007	1.3138624482007076e-06	9.03777617321575e-05
chr6	5694713	1.3140289029105196e-06	9.169179063506802e-05
chr6	5701541	1.3142680178247854e-06	9.30060586528928e-05
chr6	5704014	1.355566639660135e-06	9.436162529255294e-05
chr6	5710228	1.3561445911288971e-06	9.571776988368184e-05
chr6	5710354	1.3562003231929658e-06	9.70739702068748e-05
chr6	5722306	1.3567133927956487e-06	9.843068359967045e-05
chr6	5722398	1.3567694603242576e-06	9.97874530599947e-05
chr6	5723118	1.3828106490090776e-06	0.00010117026370900378
chr6	5723227	1.385291334878376e-06	0.00010255555504388216
chr6	5723400	1.385344616825725e-06	0.00010394089966070788
chr6	5727250	1.3981505743565059e-06	0.00010533905023506439
chr6	5732797	1.4185870520032152e-06	0.00010675763728706761
chr6	5732820	1.4186312178605066e-06	0.00010817626850492812
chr6	5735207	1.4187144994947389e-06	0.00010959498300442286
chr6	5741436	1.4465272838438534e-06	0.00011104151028826672
chr6	5744992	1.4544614542947553e-06	0.00011249597174256147
chr6	5746943	1.4546028226860932e-06	0.00011395057456524757
chr6	5754940	1.4548819084813763e-06	0.00011540545647372894
chr6	5757650	1.4550793303211462e-06	0.00011686053580405008
chr6	5773821	1.4554670008214204e-06	0.0001183160028048715
chr6	5773955	1.4555183629627944e-06	0.00011977152116783429
chr6	5777131	1.4560769999314733e-06	0.00012122759816776576
chr6	5777514	1.4561358230810532e-06	0.0001226837339908468
chr6	5777546	1.4561465240586603e-06	0.00012413988051490548
chr6	5785789	1.456482766474604e-06	0.00012559636328138008
chr6	5788014	1.4566753882681548e-06	0.00012705303866964823
chr6	5794948	1.5810072602908775e-06	0.0001286340459299391
chr6	5800202	1.581764909177564e-06	0.00013021581083911667
chr6	5802173	1.5821397211435709e-06	0.00013179795056026024
chr6	5808446	1.6132434478675595e-06	0.0001334111940081278
chr6	5822192	1.6398063949637247e-06	0.0001350510004030915
chr6	5827500	1.6399803755124113e-06	0.00013669098077860391
chr6	5839085	1.650405930345103e-06	0.000138341386708949
chr6	5842924	1.6506064106346588e-06	0.00013999199311958368
chr6	5855453	1.6750249290864124e-06	0.00014166701804867009
