chr	pos	prob	cdf
chr17	5113578	0.0	0.0
chr17	5124462	8.986533785930173e-10	8.986533785930173e-10
chr17	5126689	1.3848536328140985e-09	2.283507011407116e-09
chr17	5133807	2.226374480845814e-09	4.50988149225293e-09
chr17	5136476	2.808384429742777e-09	7.318265921995707e-09
chr17	5137047	3.1148931017802324e-09	1.043315902377594e-08
chr17	5141800	3.860510687643551e-09	1.429366971141949e-08
chr17	5146470	4.588484633705705e-09	1.8882154345125195e-08
chr17	5153443	5.898989388928293e-09	2.4781143734053487e-08
chr17	5154276	7.873512676316808e-09	3.26546564103703e-08
chr17	5191527	4.513463454800106e-08	7.778929095837135e-08
chr17	5199100	4.7647260393948856e-08	1.254365513523202e-07
chr17	5202969	4.959650666129005e-08	1.7503305801361026e-07
chr17	5204730	5.105961948314656e-08	2.2609267749675682e-07
chr17	5211074	5.275019350326974e-08	2.7884287100002654e-07
chr17	5213391	5.3627384270656095e-08	3.3247025527068265e-07
chr17	5237012	5.5400634284970607e-08	3.878708895556533e-07
chr17	5238073	5.586533680121236e-08	4.4373622635686567e-07
chr17	5243828	5.6667252938748287e-08	5.00403479295614e-07
chr17	5261220	5.770317975482074e-08	5.581066590504348e-07
chr17	5262749	5.890261187149715e-08	6.17009270921932e-07
chr17	5266343	6.070671251850159e-08	6.777159834404336e-07
chr17	5268712	6.243037889352843e-08	7.40146362333962e-07
chr17	5271804	6.430712091962951e-08	8.044534832535915e-07
chr17	5274947	6.653051527852046e-08	8.70983998532112e-07
chr17	5283252	6.750149501909801e-08	9.384854935512101e-07
chr17	5294787	6.857939558387847e-08	1.0070648891350885e-06
chr17	5295001	6.878681113506697e-08	1.0758517002701555e-06
chr17	5308377	7.024574592434366e-08	1.1460974461944993e-06
chr17	5317008	7.153857136483396e-08	1.2176360175593332e-06
chr17	5319620	7.828719736025963e-08	1.2959232149195928e-06
chr17	5322106	8.509931977397142e-08	1.3810225346935643e-06
chr17	5324893	8.622627186639568e-08	1.46724880655996e-06
chr17	5326162	8.709800300371207e-08	1.5543468095636722e-06
chr17	5326341	8.752151762260298e-08	1.6418683271862751e-06
chr17	5335752	9.887013216544537e-08	1.7407384593517205e-06
chr17	5336058	9.989544225385637e-08	1.8406339016055767e-06
chr17	5340813	1.0382566404989264e-07	1.944459565655469e-06
chr17	5341874	1.0502940959383824e-07	2.0494889752493076e-06
chr17	5346599	1.0594820354022312e-07	2.1554371787895305e-06
chr17	5347084	1.063445558785543e-07	2.2617817346680846e-06
chr17	5351791	1.0733968745781024e-07	2.369121422125895e-06
chr17	5354077	1.0853558629645176e-07	2.4776570084223466e-06
chr17	5355210	1.0943438502959292e-07	2.5870913934519397e-06
chr17	5358671	1.2405501723868241e-07	2.711146410690622e-06
chr17	5366947	1.2552058587975053e-07	2.8366669965703725e-06
chr17	5376458	1.269198279848241e-07	2.9635868245551966e-06
chr17	5382031	1.2768036033302582e-07	3.0912671848882224e-06
chr17	5385398	1.2830597303523315e-07	3.2195731579234556e-06
chr17	5393524	1.2992351804465006e-07	3.349496675968106e-06
chr17	5398234	1.32975745603231e-07	3.4824724215713368e-06
chr17	5400177	1.4513234751143086e-07	3.6276047690827674e-06
chr17	5402957	1.477233941944482e-07	3.7753281632772155e-06
chr17	5412473	1.494162533793043e-07	3.92474441665652e-06
chr17	5415287	1.5000448310737938e-07	4.0747488997639e-06
chr17	5415623	1.5025540226628828e-07	4.225004302030188e-06
chr17	5418799	1.5084969501877987e-07	4.3758539970489684e-06
chr17	5419278	1.511545640221015e-07	4.52700856107107e-06
chr17	5420328	1.5788331922867815e-07	4.684891880299749e-06
chr17	5425077	1.5865504354507212e-07	4.843546923844821e-06
chr17	5430283	1.595180808721718e-07	5.003065004716992e-06
chr17	5432405	1.6019527729413588e-07	5.163260282011128e-06
chr17	5436263	1.612162009311485e-07	5.324476482942276e-06
chr17	5449665	1.6406990976060213e-07	5.488546392702879e-06
chr17	5449863	1.646947973771215e-07	5.653241190080001e-06
chr17	5457838	1.9877157427052487e-07	5.852012764350525e-06
chr17	5462654	2.0072033169462517e-07	6.0527330960451505e-06
chr17	5467424	2.0230452885566368e-07	6.255037624900814e-06
chr17	5473827	2.0476284647249103e-07	6.459800471373305e-06
chr17	5482859	2.0608835810907523e-07	6.66588882948238e-06
chr17	5483937	2.0664949748232413e-07	6.872538326964705e-06
chr17	5488512	2.0772171690670469e-07	7.0802600438714095e-06
chr17	5490702	2.0852593831487948e-07	7.288785982186289e-06
chr17	5492436	2.1815397596000281e-07	7.506939958146292e-06
chr17	5502661	2.1976156658616267e-07	7.726701524732455e-06
chr17	5509090	2.2127062428307405e-07	7.947972149015529e-06
chr17	5510258	2.2207089804027986e-07	8.17004304705581e-06
chr17	5514590	2.2335822065050864e-07	8.39340126770632e-06
chr17	5532755	2.3360427459331282e-07	8.627005542299632e-06
chr17	5534412	2.3726486423945927e-07	8.864270406539091e-06
chr17	5535065	2.3783247511032682e-07	9.102102881649418e-06
chr17	5536556	2.3860225811399085e-07	9.340705139763408e-06
chr17	5547380	2.4037091557375805e-07	9.581076055337167e-06
chr17	5550299	2.411740912579696e-07	9.822250146595137e-06
chr17	5559733	2.598650533437181e-07	1.0082115199938855e-05
chr17	5563595	2.6258223097933023e-07	1.0344697430918186e-05
chr17	5565463	2.6627285173481737e-07	1.0610970282653002e-05
chr17	5566089	2.76135276390832e-07	1.0887105559043834e-05
chr17	5567482	3.013911621989901e-07	1.1188496721242824e-05
chr17	5568304	3.281842074402136e-07	1.1516680928683037e-05
chr17	5570518	3.720844900808853e-07	1.1888765418763922e-05
chr17	5573766	3.748609934373936e-07	1.2263626412201316e-05
chr17	5574433	3.760527707813553e-07	1.2639679182982672e-05
chr17	5576885	6.547301929333503e-07	1.3294409375916023e-05
chr17	5577442	6.553643012971407e-07	1.3949773677213164e-05
chr17	5578857	6.560653711485721e-07	1.4605839048361736e-05
chr17	5579737	6.565966728881236e-07	1.526243572124986e-05
chr17	5579859	6.568786053051003e-07	1.591931432655496e-05
chr17	5580222	6.574641530682365e-07	1.6576778479623194e-05
chr17	5582334	6.587624381869092e-07	1.7235540917810103e-05
chr17	5583035	6.59621876912411e-07	1.7895162794722514e-05
chr17	5590944	6.617256740633743e-07	1.8556888468785888e-05
chr17	5591389	6.623358956408665e-07	1.9219224364426753e-05
chr17	5594285	6.64505208517256e-07	1.988372957294401e-05
chr17	5598568	6.810487593578628e-07	2.056477833230187e-05
chr17	5600545	6.863821315235297e-07	2.12511604638254e-05
chr17	5602894	6.87872395343321e-07	2.1939032859168722e-05
chr17	5607859	6.914180772576486e-07	2.263045093642637e-05
chr17	5608315	6.929337513406051e-07	2.3323384687766976e-05
chr17	5609630	7.395343455175194e-07	2.4062919033284497e-05
chr17	5610337	7.633011509241294e-07	2.4826220184208627e-05
chr17	5616579	7.784285369467183e-07	2.5604648721155344e-05
chr17	5616689	7.786300607925892e-07	2.6383278781947934e-05
chr17	5618589	7.798071460884923e-07	2.7163085928036426e-05
chr17	5626289	7.819053012039941e-07	2.794499122924042e-05
chr17	5627408	7.826199922602809e-07	2.87276112215007e-05
chr17	5633982	7.841096714255748e-07	2.9511720892926275e-05
chr17	5634344	7.855840650847294e-07	3.0297304958011004e-05
chr17	5636209	8.187637601394081e-07	3.111606871815041e-05
chr17	5637276	8.19925537440963e-07	3.1935994255591376e-05
chr17	5639077	8.213536290474854e-07	3.275734788463886e-05
chr17	5639218	8.21578754772262e-07	3.357892663941112e-05
chr17	5639878	8.220825700311815e-07	3.44010092094423e-05
chr17	5641339	8.22819933859696e-07	3.5223829143301995e-05
chr17	5641508	8.243055004106949e-07	3.604813464371269e-05
chr17	5645968	8.331661581803552e-07	3.6881300801893046e-05
chr17	5646421	8.335963795648163e-07	3.771489718145786e-05
chr17	5646564	8.339525223145596e-07	3.854884970377242e-05
chr17	5649020	8.485735349496289e-07	3.939742323872205e-05
chr17	5649943	8.572178670983319e-07	4.0254641105820386e-05
chr17	5653744	8.952608013053982e-07	4.114990190712579e-05
chr17	5656024	8.978376584597591e-07	4.204773956558555e-05
chr17	5658315	8.99180726374778e-07	4.2946920291960326e-05
chr17	5664752	9.014760110205131e-07	4.384839630298084e-05
chr17	5665764	9.1404017283225e-07	4.476243647581309e-05
chr17	5670410	9.496163939656452e-07	4.571205286977874e-05
chr17	5671101	9.630269990631958e-07	4.667507986884193e-05
chr17	5677151	9.690193072245465e-07	4.7644099176066475e-05
chr17	5678952	9.700986165353114e-07	4.861419779260179e-05
chr17	5682867	9.717391595257343e-07	4.9585936952127524e-05
chr17	5686573	1.2049308284099785e-06	5.0790867780537505e-05
chr17	5687387	1.2063849918657677e-06	5.199725277240327e-05
chr17	5687717	1.2070704276906247e-06	5.32043232000939e-05
chr17	5691801	1.2091880058923964e-06	5.44135112059863e-05
chr17	5693484	1.2117570113825182e-06	5.562526821736882e-05
chr17	5695262	1.2317679831509822e-06	5.68570362005198e-05
chr17	5698487	1.2333143981818144e-06	5.809035059870161e-05
chr17	5699382	1.2341612467897557e-06	5.932451184549136e-05
chr17	5702637	1.2349820780341516e-06	6.0559493923525514e-05
chr17	5702945	1.2352489856768314e-06	6.179474290920235e-05
chr17	5703068	1.2354266814529377e-06	6.303016959065529e-05
chr17	5703495	1.235765736182823e-06	6.426593532683811e-05
chr17	5703531	1.2358562516824872e-06	6.55017915785206e-05
chr17	5703605	1.236013570058432e-06	6.673780514857903e-05
chr17	5711950	1.237199661582705e-06	6.797500481016174e-05
chr17	5712298	1.2382168112410977e-06	6.921322162140283e-05
chr17	5713654	1.2402544298580249e-06	7.045347605126086e-05
chr17	5713820	1.241507274380704e-06	7.169498332564156e-05
chr17	5717679	1.253791080467005e-06	7.294877440610855e-05
chr17	5718372	1.2679222247807049e-06	7.421669663088925e-05
chr17	5720781	1.2693890702606793e-06	7.548608570114993e-05
chr17	5722564	1.2854629490689243e-06	7.677154865021886e-05
chr17	5723206	1.3164923532435092e-06	7.808804100346237e-05
chr17	5723782	1.491608618588497e-06	7.957964962205087e-05
chr17	5725113	1.55616676548191e-06	8.113581638753279e-05
chr17	5725518	1.5591794399419831e-06	8.269499582747477e-05
chr17	5727675	1.5609203840189672e-06	8.425591621149373e-05
chr17	5727700	1.5610011977226309e-06	8.581691740921636e-05
chr17	5728500	1.5618212041078958e-06	8.737873861332426e-05
chr17	5728870	1.5641303091895113e-06	8.894286892251377e-05
chr17	5730117	1.5664102988082584e-06	9.050927922132202e-05
chr17	5730219	1.5668622201240812e-06	9.20761414414461e-05
chr17	5731597	1.56867915617713e-06	9.364482059762323e-05
chr17	5732430	1.5704615634123802e-06	9.521528216103561e-05
chr17	5733354	1.5748782414662892e-06	9.679016040250191e-05
chr17	5733558	1.5753457405379969e-06	9.836550614303991e-05
chr17	5734283	1.5945398615007818e-06	9.99600460045407e-05
chr17	5735554	1.6014102883950736e-06	0.00010156145629293577
chr17	5736703	1.6037316777571175e-06	0.00010316518797069289
chr17	5737909	1.9335776792767918e-06	0.00010509876564996968
chr17	5739026	1.9349356933612253e-06	0.00010703370134333091
chr17	5739151	1.9353921501355946e-06	0.0001089690934934665
chr17	5742794	2.196928248597707e-06	0.0001111660217420642
chr17	5746027	2.198341015243254e-06	0.00011336436275730746
chr17	5750112	2.257599055415908e-06	0.00011562196181272337
chr17	5755670	2.2703055128657056e-06	0.00011789226732558908
chr17	5757530	2.2729392569932067e-06	0.00012016520658258228
chr17	5758520	2.27484091943676e-06	0.00012244004750201906
chr17	5759090	2.275289436879103e-06	0.00012471533693889816
chr17	5762634	2.2879188020209437e-06	0.0001270032557409191
chr17	5765353	2.288929513557082e-06	0.00012929218525447618
chr17	5768929	2.2900245148007586e-06	0.00013158220976927694
chr17	5768989	2.2901618241334442e-06	0.0001338723715934104
chr17	5770670	2.290922454341963e-06	0.00013616329404775236
chr17	5772276	2.291697027632827e-06	0.00013845499107538518
chr17	5773602	2.2925047270482516e-06	0.00014074749580243344
chr17	5777347	2.317955335008996e-06	0.00014306545113744243
chr17	5778565	2.3188089944877207e-06	0.00014538426013193016
chr17	5780400	2.356246322223817e-06	0.00014774050645415397
chr17	5783283	2.437664850417477e-06	0.00015017817130457144
chr17	5785424	2.443300241068729e-06	0.00015262147154564016
chr17	5795753	2.4547534442823414e-06	0.0001550762249899225
chr17	5801331	2.479439208634953e-06	0.00015755566419855746
chr17	5804075	2.9135828909472546e-06	0.00016046924708950473
chr17	5808139	2.918509259710254e-06	0.00016338775634921497
chr17	5812528	2.923278266818787e-06	0.00016631103461603377
chr17	5817733	2.9253757496627724e-06	0.00016923641036569655
chr17	5818262	2.9260586401649107e-06	0.00017216246900586145
chr17	5818764	2.9267584969671607e-06	0.0001750892275028286
chr17	5820197	2.9315902577853975e-06	0.000178020817760614
chr17	5821094	2.9347592801794214e-06	0.00018095557704079344
chr17	5827647	2.943676158153216e-06	0.00018389925319894665
chr17	5830838	2.95080623646226e-06	0.00018685005943540892
