chr	pos	prob	cdf
chr18	5071785	0.0	0.0
chr18	5074049	4.0706114777965185e-09	4.0706114777965185e-09
chr18	5074167	5.002317957175158e-09	9.072929434971676e-09
chr18	5078653	1.0970426546293752e-08	2.004335598126543e-08
chr18	5079328	1.1464806238765884e-08	3.150816222003131e-08
chr18	5080212	1.2246973517180224e-08	4.3755135737211536e-08
chr18	5091943	5.784599521920617e-08	1.016011309564177e-07
chr18	5096936	6.165904238316383e-08	1.6326017333958153e-07
chr18	5100775	6.359727032208124e-08	2.2685744366166277e-07
chr18	5102747	8.424308266357792e-08	3.111005263252407e-07
chr18	5103841	9.009143789305438e-08	4.011919642182951e-07
chr18	5103881	9.05012620204934e-08	4.916932262387885e-07
chr18	5104690	1.0355944840129982e-07	5.952526746400883e-07
chr18	5107632	1.1178201885394221e-07	7.070346934940305e-07
chr18	5108572	1.3056957299028596e-07	8.376042664843164e-07
chr18	5108877	1.3347208943663828e-07	9.710763559209548e-07
chr18	5121579	1.705327594499533e-07	1.141609115370908e-06
chr18	5128439	1.7389575417878636e-07	1.3155048695496944e-06
chr18	5133836	1.7480246007831096e-07	1.4903073296280054e-06
chr18	5139180	1.7572305619321444e-07	1.6660303858212198e-06
chr18	5144730	1.765858289478745e-07	1.8426162147690944e-06
chr18	5145389	1.769011354192802e-07	2.0195173501883746e-06
chr18	5148001	1.774599393340974e-07	2.196977289522472e-06
chr18	5149482	1.7790824705703523e-07	2.3748855365795073e-06
chr18	5151205	1.7837163586204335e-07	2.5532571724415505e-06
chr18	5152737	1.863861223010761e-07	2.7396432947426265e-06
chr18	5152926	1.869194849017321e-07	2.9265627796443585e-06
chr18	5155397	2.421681375851864e-07	3.168730917229545e-06
chr18	5156040	2.433777198133148e-07	3.41210863704286e-06
chr18	5156427	2.443928998516003e-07	3.6565015368944606e-06
chr18	5156547	2.446143620655439e-07	3.901115898960005e-06
chr18	5159004	2.461932792715254e-07	4.14730917823153e-06
chr18	5159753	3.1873599554623533e-07	4.4660451737777655e-06
chr18	5160759	3.702117546881129e-07	4.8362569284658785e-06
chr18	5161461	3.707950185972546e-07	5.207051947063133e-06
