chr	pos	prob	cdf
chr14	25425222	0.0	0.0
chr14	25426138	1.4074609227181424e-10	1.4074609227181424e-10
chr14	25426899	2.8151806612276537e-10	4.222641583945796e-10
chr14	25427787	8.481138229034235e-10	1.2703779812980031e-09
chr14	25428420	1.14250639653687e-07	1.1552101763498501e-07
chr14	25429027	1.5225536600862696e-07	2.67776383643612e-07
chr14	25435206	1.5293949121942518e-07	4.2071587486303714e-07
chr14	25436494	1.5326940243511894e-07	5.739852772981561e-07
chr14	25438250	1.5366731545963062e-07	7.276525927577867e-07
chr14	25443592	1.542226942664175e-07	8.818752870242042e-07
chr14	25445343	1.5449372035895837e-07	1.0363690073831626e-06
chr14	25453920	1.5498653019184457e-07	1.1913555375750072e-06
chr14	25459482	1.600104591383078e-07	1.351365996713315e-06
chr14	25472382	1.6690482489388096e-07	1.518270821607196e-06
chr14	25474449	1.7040123557630507e-07	1.6886720571835012e-06
chr14	25476170	1.7357101236189142e-07	1.8622430695453926e-06
chr14	25479674	1.779749906359432e-07	2.040218060181336e-06
chr14	25484284	1.8270987874772152e-07	2.2229279389290578e-06
chr14	25485314	1.8510365244361804e-07	2.408031591372676e-06
chr14	25487816	1.8894286017073934e-07	2.5969744515434153e-06
chr14	25488241	1.90087044091611e-07	2.7870614956350263e-06
chr14	25500521	1.978857189066315e-07	2.9849472145416576e-06
chr14	25504988	1.9851690778437568e-07	3.1834641223260333e-06
chr14	25505085	1.9865486435279466e-07	3.382118986678828e-06
chr14	25510923	2.0081588407229396e-07	3.5829348707511222e-06
chr14	25514126	2.106132049148776e-07	3.7935480756659998e-06
chr14	25526309	2.309381859611279e-07	4.024486261627127e-06
chr14	25536371	2.5005135422870184e-07	4.2745376158558295e-06
chr14	25536570	2.5067771209725514e-07	4.5252153279530846e-06
chr14	25540265	2.5424074894065327e-07	4.7794560768937376e-06
chr14	25541483	2.5650652847863674e-07	5.035962605372375e-06
chr14	25552848	2.620274802822293e-07	5.297990085654604e-06
chr14	25555356	2.6350324494205285e-07	5.561493330596657e-06
chr14	25555593	2.637370560607766e-07	5.8252303866574336e-06
chr14	25561403	2.645811431325109e-07	6.089811529789944e-06
chr14	25563609	2.6514047125854433e-07	6.354952001048488e-06
chr14	25566203	2.657709252899982e-07	6.620722926338487e-06
chr14	25579277	2.677482405538844e-07	6.888471166892371e-06
chr14	25579457	2.6807213739996463e-07	7.156543304292336e-06
chr14	25579672	2.684785791847873e-07	7.425021883477123e-06
chr14	25580343	2.693706864827182e-07	7.69439256995984e-06
chr14	25580391	2.69448182113963e-07	7.963840752073804e-06
chr14	25580659	2.697132586272137e-07	8.233554010701017e-06
chr14	25582885	2.741622478446041e-07	8.507716258545622e-06
chr14	25587842	8.222956951915966e-07	9.330011953737219e-06
chr14	25588029	8.448575282825073e-07	1.0174869482019726e-05
chr14	25591888	8.467436664556545e-07	1.102161314847538e-05
chr14	25591902	8.467694789052823e-07	1.1868382627380662e-05
chr14	25593857	8.475025707822273e-07	1.2715885198162889e-05
chr14	25597666	8.759956721654095e-07	1.3591880870328298e-05
chr14	25598159	8.833474417085871e-07	1.4475228312036885e-05
chr14	25598386	8.836958653470699e-07	1.5358924177383954e-05
chr14	25605046	8.857717319282681e-07	1.6244695909312224e-05
chr14	25609697	8.872500577404251e-07	1.7131945967052648e-05
chr14	25616188	8.887704406244171e-07	1.8020716407677065e-05
chr14	25617182	8.891735086677471e-07	1.8909889916344813e-05
chr14	25622312	8.913333908871208e-07	1.9801223307231934e-05
chr14	25623218	1.107668126336648e-06	2.090889143356858e-05
chr14	25625016	1.3507921265053296e-06	2.225968356007391e-05
chr14	25630912	1.352102548115098e-06	2.3611786108189006e-05
chr14	25631999	1.3524051782488965e-06	2.4964191286437902e-05
chr14	25646203	1.3567867667899371e-06	2.632097805322784e-05
chr14	25652098	1.3591051327195191e-06	2.7680083185947357e-05
chr14	25658914	1.361583395563938e-06	2.9041666581511294e-05
chr14	25659402	1.3622594283487636e-06	3.0403926009860056e-05
chr14	25664110	1.3639132342397206e-06	3.1767839244099775e-05
chr14	25666631	1.3652077434104104e-06	3.3133046987510185e-05
chr14	25672680	1.3679955722829635e-06	3.450104255979315e-05
chr14	25680909	1.3684855956815242e-06	3.586952815547467e-05
chr14	25686316	1.3689603712146143e-06	3.723848852668928e-05
chr14	25691156	1.3693776066308183e-06	3.86078661333201e-05
chr14	25695907	1.3705365240285005e-06	3.99784026573486e-05
chr14	25700083	1.3890023084442195e-06	4.136740496579282e-05
chr14	25709765	1.41468656072631e-06	4.278209152651913e-05
chr14	25710132	1.4151170419768182e-06	4.419720856849595e-05
chr14	25712300	1.415598784854847e-06	4.5612807353350796e-05
chr14	25712751	1.4175187484893257e-06	4.703032610184012e-05
chr14	25713003	1.4189346595500244e-06	4.8449260761390145e-05
chr14	25713276	1.4206604799257601e-06	4.9869921241315905e-05
chr14	25715736	1.423561699099408e-06	5.129348294041531e-05
chr14	25716589	1.425369074657909e-06	5.271885201507322e-05
chr14	25717572	1.428755731777213e-06	5.414760774685043e-05
chr14	25719492	1.4292631638706475e-06	5.557687091072108e-05
chr14	25721032	1.4297998929898991e-06	5.700667080371098e-05
chr14	25721716	1.4301512874601459e-06	5.8436822091171126e-05
chr14	25723826	1.461581069231059e-06	5.9898403160402186e-05
chr14	25724024	1.4724611766192513e-06	6.137086433702143e-05
chr14	25724179	1.4835951585023097e-06	6.285445949552375e-05
chr14	25724322	1.48373258547628e-06	6.433819208100002e-05
chr14	25726332	1.4845880133718443e-06	6.582278009437187e-05
chr14	25739646	1.6010431471412448e-06	6.742382324151311e-05
chr14	25757475	1.6045539806739854e-06	6.90283772221871e-05
chr14	25776787	1.6056175109276128e-06	7.063399473311471e-05
chr14	25783157	1.6061636725263657e-06	7.224015840564107e-05
chr14	25792834	1.6243276275754238e-06	7.38644860332165e-05
chr14	25814078	1.6252636404022762e-06	7.548974967361878e-05
chr14	25826595	1.6259153061683031e-06	7.711566497978708e-05
chr14	25832388	1.6264604732023247e-06	7.87421254529894e-05
chr14	25832866	1.6266065633465741e-06	8.036873201633598e-05
chr14	25833654	1.627320562893257e-06	8.199605257922924e-05
chr14	25847242	1.637111424147013e-06	8.363316400337625e-05
chr14	25857621	1.6480315269338603e-06	8.528119553031011e-05
chr14	25857804	1.6494446896050958e-06	8.69306402199152e-05
chr14	25859333	1.6605555122331482e-06	8.859119573214835e-05
chr14	25867748	1.6689113465857274e-06	9.026010707873408e-05
chr14	25868156	1.6707532283006068e-06	9.193086030703469e-05
chr14	25868256	1.6708756340897576e-06	9.360173594112445e-05
chr14	25869357	1.7375548490433887e-06	9.533929079016784e-05
chr14	25869811	1.7378443002154162e-06	9.707713509038326e-05
chr14	25871110	1.7384667430904895e-06	9.881560183347376e-05
chr14	25872178	1.738998487594844e-06	0.0001005546003210686
chr14	25872496	1.739231224193071e-06	0.00010229383154526168
chr14	25880510	1.791472743266975e-06	0.00010408530428852865
chr14	25882806	1.7918812959650813e-06	0.00010587718558449373
chr14	25886346	1.7922412645953559e-06	0.00010766942684908908
chr14	25887879	1.7924679916677997e-06	0.00010946189484075687
chr14	25887935	1.7925167406604762e-06	0.00011125441158141735
chr14	25890119	1.7929947500581296e-06	0.00011304740633147548
chr14	25890366	1.7933164869598606e-06	0.00011484072281843535
chr14	25890401	1.7934212757473243e-06	0.00011663414409418267
chr14	25906333	1.7963492508959152e-06	0.00011843049334507858
chr14	25912095	1.8012913603588284e-06	0.00012023178470543741
chr14	25919419	1.87233661221438e-06	0.0001221041213176518
chr14	25919705	1.9233818100751407e-06	0.00012402750312772695
chr14	25920720	1.924390538019318e-06	0.00012595189366574626
chr14	25922458	1.92501597181788e-06	0.00012787690963756413
