chr	pos	prob	cdf
chr13	24250712	0.0	0.0
chr13	24255223	1.6596786368684168e-10	1.6596786368684168e-10
chr13	24255594	2.1816389624258858e-10	3.8413175992943025e-10
chr13	24266521	4.511123163665817e-10	8.35244076296012e-10
chr13	24268533	1.0898439658868406e-09	1.9250880421828527e-09
chr13	24269820	2.1219113637526e-08	2.3144201679708854e-08
chr13	24275547	2.7632880872338736e-08	5.0777082552047594e-08
chr13	24280497	6.882397300141374e-08	1.1960105555346133e-07
chr13	24280832	7.623151162375323e-08	1.9583256717721456e-07
chr13	24281011	7.745275586542757e-08	2.7328532304264214e-07
chr13	24288993	8.047380616347551e-08	3.5375912920611766e-07
chr13	24289783	8.16039404838744e-08	4.3536306968999205e-07
chr13	24291878	8.410467147680563e-08	5.194677411667977e-07
chr13	24295793	8.433087545265066e-08	6.037986166194483e-07
chr13	24296862	8.445802802324282e-08	6.882566446426911e-07
chr13	24298343	8.461005113931478e-08	7.728666957820058e-07
chr13	24301943	8.908459283522925e-08	8.619512886172351e-07
chr13	24306049	9.263692171693415e-08	9.545882103341693e-07
chr13	24309739	9.524175802961297e-08	1.0498299683637822e-06
chr13	24315170	9.54339729829748e-08	1.1452639413467569e-06
chr13	24318963	9.562686294032217e-08	1.240890804287079e-06
chr13	24319296	9.570256053127796e-08	1.336593364818357e-06
chr13	24326754	9.594127540090717e-08	1.4325346402192641e-06
chr13	24331903	9.616264500273293e-08	1.528697285221997e-06
chr13	24336981	9.638675616143796e-08	1.625084041383435e-06
chr13	24342258	9.662568063684569e-08	1.7217097220202808e-06
chr13	24351060	9.689734075288332e-08	1.818607062773164e-06
chr13	24360993	9.719967580626672e-08	1.9158067385794307e-06
chr13	24369776	9.750789857709746e-08	2.013314637156528e-06
chr13	24373930	9.774267334113882e-08	2.111057310497667e-06
chr13	24379138	9.803044913018236e-08	2.209087759627849e-06
chr13	24387570	9.836650967909117e-08	2.30745426930694e-06
chr13	24396149	9.8718516820719e-08	2.406172786127659e-06
chr13	24401809	9.905294240006868e-08	2.5052257285277277e-06
chr13	24410278	9.941529914313821e-08	2.604641027670866e-06
chr13	24411066	9.957524311762936e-08	2.7042162707884956e-06
chr13	24416872	9.996871451062033e-08	2.804184985299116e-06
chr13	24417335	1.0127275504108932e-07	2.9054577403402053e-06
chr13	24420440	1.0457180703458925e-07	3.0100295473747944e-06
chr13	24422487	1.0734327291505859e-07	3.117372820289853e-06
chr13	24423447	1.0978738259661765e-07	3.227160202886471e-06
chr13	24430875	1.250573466350953e-07	3.3522175495215663e-06
chr13	24431745	2.1100403379248073e-07	3.563221583314047e-06
chr13	24432088	2.1139214988192343e-07	3.7746137331959704e-06
chr13	24432467	2.1163758598041608e-07	3.9862513191763865e-06
chr13	24436475	2.1191486493961122e-07	4.198166184115998e-06
chr13	24440498	2.1217159968644164e-07	4.4103377838024395e-06
chr13	24441561	2.123510208185952e-07	4.622688804621035e-06
chr13	24446871	2.1264017377701431e-07	4.835328978398049e-06
chr13	24447228	2.1273772999226453e-07	5.0480667083903136e-06
chr13	24447664	2.1508423166937264e-07	5.263150940059686e-06
chr13	24462471	2.2540035743140412e-07	5.48855129749109e-06
chr13	24467342	2.2569841772431983e-07	5.71424971521541e-06
chr13	24474613	2.2605424933753e-07	5.94030396455294e-06
chr13	24476045	2.262517803898684e-07	6.166555744942809e-06
chr13	24476073	2.2627579455474425e-07	6.392831539497553e-06
chr13	24480775	1.8984461240185582e-06	8.291277663516112e-06
chr13	24482933	1.8987045174468625e-06	1.0189982180962975e-05
chr13	24483053	1.8988022813568104e-06	1.2088784462319785e-05
chr13	24489605	1.931186766208948e-06	1.4019971228528732e-05
chr13	24489695	1.932515749362264e-06	1.5952486977890995e-05
chr13	24489773	1.9325859299322254e-06	1.788507290782322e-05
chr13	24490921	1.933113908944929e-06	1.981818681676815e-05
chr13	24493875	1.9340766891338853e-06	2.1752263505902036e-05
chr13	24495061	1.934910478722633e-06	2.368717398462467e-05
chr13	24496042	1.9370385681059964e-06	2.5624212552730666e-05
chr13	24497118	1.9694830868668207e-06	2.7593695639597485e-05
chr13	24498782	2.009432724209224e-06	2.960312836380671e-05
chr13	24499249	2.0104541221270023e-06	3.161358248593371e-05
chr13	24504955	2.011494060621663e-06	3.3625076546555374e-05
chr13	24506728	2.0119952189556643e-06	3.563707176551104e-05
chr13	24506770	2.012047883712461e-06	3.7649119649223504e-05
chr13	24510616	2.0127163297133805e-06	3.9661835978936885e-05
chr13	24514934	2.0134983166965767e-06	4.167533429563346e-05
