chr	pos	prob	cdf
chr8	5189722	0.0	0.0
chr8	5194048	1.9371972101941757e-10	1.9371972101941757e-10
chr8	5194198	5.110033741048411e-10	7.047230951242587e-10
chr8	5205074	2.61686793803395e-09	3.3215910331582084e-09
chr8	5207483	3.793172749282662e-09	7.11476378244087e-09
chr8	5207530	3.814799519775947e-09	1.0929563302216818e-08
chr8	5214904	4.042724449320088e-09	1.4972287751536906e-08
chr8	5216264	1.0337225582013645e-08	2.530951333355055e-08
chr8	5217751	1.0464389731812497e-08	3.577390306536305e-08
chr8	5218164	1.0541943547384273e-08	4.6315846612747326e-08
chr8	5221093	1.0703210917722038e-08	5.701905753046936e-08
chr8	5222156	1.0806932133703172e-08	6.782598966417254e-08
chr8	5224855	1.0980082720902202e-08	7.880607238507474e-08
chr8	5225481	1.1068085784942042e-08	8.987415817001678e-08
chr8	5226521	1.1188957343763433e-08	1.0106311551378021e-07
chr8	5227409	1.1282146258198934e-08	1.1234526177197914e-07
chr8	5250660	1.1620475969298034e-08	1.239657377412772e-07
chr8	5255155	1.2289965022703103e-08	1.3625570276398029e-07
chr8	5257588	1.2817173481109912e-08	1.490728762450902e-07
chr8	5258496	1.3145217643876232e-08	1.6221809388896642e-07
chr8	5264326	1.3891705456175324e-08	1.7610979934514175e-07
chr8	5265851	1.4366390821171388e-08	1.9047619016631314e-07
chr8	5269217	1.4990138927842248e-08	2.0546632909415539e-07
chr8	5269813	1.528784466580249e-08	2.2075417375995787e-07
chr8	5270693	1.5634959102979014e-08	2.3638913286293688e-07
chr8	5271716	1.599821978294968e-08	2.523873526458866e-07
chr8	5275923	1.6695504095987458e-08	2.6908285674187403e-07
chr8	5276592	1.691296163740321e-08	2.8599581837927723e-07
chr8	5280169	1.73350220307976e-08	3.0333084041007484e-07
chr8	5283604	1.9584258571598745e-08	3.229150989816736e-07
chr8	5283728	1.9947801653417865e-08	3.4286290063509146e-07
chr8	5304766	2.4498887729654702e-08	3.6736178836474615e-07
chr8	5317617	2.5185097048819116e-08	3.9254688541356525e-07
chr8	5324981	2.5446306206055257e-08	4.179931916196205e-07
chr8	5329491	2.5662702589571847e-08	4.436558942091924e-07
chr8	5334148	2.58831495773057e-08	4.695390437864981e-07
chr8	5334655	2.6555824883159994e-08	4.96094868669658e-07
chr8	5335196	2.7242210027308618e-08	5.233370786969666e-07
chr8	5335374	2.7525775078705258e-08	5.508628537756719e-07
chr8	5336597	2.8292235291313965e-08	5.791550890669859e-07
chr8	5339713	2.9536370403920002e-08	6.08691459470906e-07
chr8	5340264	3.055207454893079e-08	6.392435340198368e-07
chr8	5344373	3.2962648888313914e-08	6.722061829081507e-07
chr8	5346663	3.6308380044400685e-08	7.085145629525514e-07
chr8	5348088	3.643038390780991e-08	7.449449468603613e-07
chr8	5353286	3.665091321294864e-08	7.815958600733099e-07
chr8	5363039	3.8661758194791586e-08	8.202576182681015e-07
chr8	5371613	4.057695365065426e-08	8.608345719187558e-07
chr8	5372022	4.0652382361667374e-08	9.014869542804231e-07
chr8	5372716	4.074263088821059e-08	9.422295851686337e-07
chr8	5377537	4.0937339662071336e-08	9.83166924830705e-07
chr8	5380363	4.1105471442493305e-08	1.0242723962731983e-06
chr8	5380809	4.118010825738665e-08	1.065452504530585e-06
chr8	5383666	4.133127066204772e-08	1.1067837751926327e-06
chr8	5390967	4.155659774266477e-08	1.1483403729352974e-06
chr8	5392336	4.167752341629533e-08	1.1900178963515927e-06
chr8	5393862	4.180016277579473e-08	1.2318180591273874e-06
chr8	5397094	4.1967119830814976e-08	1.2737851789582024e-06
chr8	5400784	4.536196063495401e-08	1.3191471395931564e-06
chr8	5400926	4.541489157552625e-08	1.3645620311686826e-06
chr8	5405120	5.244407854267208e-08	1.4170061097113548e-06
chr8	5407375	5.275529546914196e-08	1.4697614051804968e-06
chr8	5408130	5.29438967633138e-08	1.5227053019438106e-06
chr8	5408863	5.318109477606396e-08	1.5758863967198745e-06
chr8	5408994	5.324265563662786e-08	1.6291290523565023e-06
chr8	5409371	5.333826852995512e-08	1.6824673208864575e-06
chr8	5410407	5.353229724880668e-08	1.7359996181352643e-06
chr8	5412336	7.389096814270157e-08	1.809890586277966e-06
chr8	5413325	7.412698620030725e-08	1.8840175724782732e-06
chr8	5413358	7.416103538691803e-08	1.9581786078651914e-06
